region,lat,lon,soil_attribute,unit,upper_depth_cm,lower_depth_cm,value,lower_uncertainty,upper_uncertainty
South Australia,-34.5,138.5,PHC,None,30.0,60.0,8.12229061126709,7.3947858810424805,8.708383560180664
South Australia,-34.5,138.5,PHC,None,60.0,100.0,8.372344017028809,7.931806564331055,8.815814018249512
South Australia,-34.5,138.5,PHC,None,100.0,200.0,8.418261528015137,6.411750316619873,9.4933443069458
South Australia,-34.5,138.5,SOC,%,0.0,5.0,1.3530161380767822,0.6523101329803467,2.583845853805542
South Australia,-34.5,138.5,SOC,%,5.0,15.0,1.0696802139282227,0.7016692161560059,2.189145088195801
South Australia,-34.5,138.5,SOC,%,15.0,30.0,0.6429506540298462,0.43514207005500793,1.554898977279663
South Australia,-34.5,138.5,SOC,%,30.0,60.0,0.3992232084274292,0.2219913750886917,0.985619843006134
South Australia,-34.5,138.5,SOC,%,60.0,100.0,0.23130793869495392,0.11785056442022324,0.4778735935688019
South Australia,-34.5,138.5,SOC,%,100.0,200.0,0.12010031938552856,0.06947069615125656,0.22092542052268982
South Australia,-34.5,138.5,DEPTH_OF_REGOLITH,,-9999.0,-9999.0,81.20674896240234,-9999.0,-9999.0
South Australia,-34.5,138.5,DEPTH_OF_SOIL,,-9999.0,-9999.0,0.8727959394454956,-9999.0,-9999.0
Tasmania,-42.0,147.0,BULK-DENSITY,g/cm3,0.0,5.0,1.0565729141235352,0.8072478175163269,1.3058979511260986
Tasmania,-42.0,147.0,BULK-DENSITY,g/cm3,5.0,15.0,1.128867268562317,0.8885853290557861,1.369149088859558
Tasmania,-42.0,147.0,BULK-DENSITY,g/cm3,15.0,30.0,1.2103533744812012,0.9692051410675049,1.451501488685608
Tasmania,-42.0,147.0,BULK-DENSITY,g/cm3,30.0,60.0,1.248784065246582,1.0364079475402832,1.4611601829528809
Tasmania,-42.0,147.0,BULK-DENSITY,g/cm3,60.0,100.0,1.2907317876815796,1.0659247636795044,1.5155386924743652
Tasmania,-42.0,147.0,BULK-DENSITY,g/cm3,100.0,200.0,1.3479384183883667,1.1341369152069092,1.5617399215698242
Tasmania,-42.0,147.0,CLAY,%,0.0,5.0,14.532710075378418,0.6357641220092773,28.429656982421875
Tasmania,-42.0,147.0,CLAY,%,5.0,15.0,15.66769790649414,0.5687341690063477,30.766660690307617
Tasmania,-42.0,147.0,CLAY,%,15.0,30.0,19.759151458740234,3.469137191772461,36.049163818359375
Tasmania,-42.0,147.0,CLAY,%,30.0,60.0,25.55702781677246,7.562782287597656,43.551273345947266
Tasmania,-42.0,147.0,CLAY,%,60.0,100.0,28.79883575439453,10.66978645324707,46.927886962890625
Tasmania,-42.0,147.0,CLAY,%,100.0,200.0,28.893747329711914,9.860086441040039,47.927406311035156
Tasmania,-42.0,147.0,SAND,%,0.0,5.0,51.13679885864258,33.58529281616211,68.68830871582031
Tasmania,-42.0,147.0,SAND,%,5.0,15.0,50.24391555786133,32.11845779418945,68.36936950683594
Tasmania,-42.0,147.0,SAND,%,15.0,30.0,46.907691955566406,28.14114761352539,65.67424011230469
Tasmania,-42.0,147.0,SAND,%,30.0,60.0,43.52253341674805,23.572406768798828,63.472660064697266
Tasmania,-42.0,147.0,SAND,%,60.0,100.0,44.48689270019531,22.987796783447266,65.98599243164062
Tasmania,-42.0,147.0,SAND,%,100.0,200.0,46.73200225830078,24.176387786865234,69.28761291503906
Tasmania,-42.0,147.0,SILT,%,0.0,5.0,19.312252044677734,9.862692832946777,31.907238006591797
Tasmania,-42.0,147.0,SILT,%,5.0,15.0,19.160715103149414,9.924064636230469,31.40865707397461
Tasmania,-42.0,147.0,SILT,%,15.0,30.0,18.552255630493164,9.547258377075195,30.521224975585938
Tasmania,-42.0,147.0,SILT,%,30.0,60.0,17.65037727355957,8.929926872253418,29.313262939453125
Tasmania,-42.0,147.0,SILT,%,60.0,100.0,17.350858688354492,8.496050834655762,29.333860397338867
Tasmania,-42.0,147.0,SILT,%,100.0,200.0,17.218523025512695,8.054915428161621,29.821687698364258
Tasmania,-42.0,147.0,TOTAL_N,%,0.0,5.0,0.292847603559494,0.07281944155693054,1.0663498640060425
Tasmania,-42.0,147.0,TOTAL_N,%,5.0,15.0,0.22018805146217346,0.050406746566295624,0.9093418717384338
